#,Player,Team,Pos,ADP,PTS,GP,PTS,G,A,'+/-,PIM,EVG,EVA,GWG,PPG,PPA,PPP,SOG,ATOI,FOW,BLK,HIT,GS,W,L,T/O,SO,SV,GA,SA,SV%,GAA
42,Roman Josi,Predators,D,79.9,632.0,76,62,14.1,48.2,'-7,38,10,25,2,4,23,26.6,203.5,26.1,0,132.3,47.6,—,—,—,—,—,—,—,—,—,—
43,Dylan Guenther,Utah,"LW,RW",39.6,627.7,76,67,31.7,35.7,1.4,31,22,23,5,10,13,23,229,18.6,6.1,39.8,71.4,—,—,—,—,—,—,—,—,—,—
44,Matthew Tkachuk,Panthers,"LW,RW",33.3,624.3,75,74,27.8,46.1,8.6,66,19,30,4,9,16,24.9,203.9,18.4,2.6,22.6,101.1,—,—,—,—,—,—,—,—,—,—
45,Sidney Crosby,Penguins,C,52.6,624.2,78,80,29.6,50,'-2,40,21,38,5,8,12,20.4,191.2,20,906.3,37.7,78.6,—,—,—,—,—,—,—,—,—,—
46,Nico Hischier,Devils,C,150.4,621.4,78,72,30.1,41.5,1.2,28,19,25,5,11,15,26.1,181,20.5,917.6,57.3,58.4,—,—,—,—,—,—,—,—,—,—
47,Juraj Slafkovsky,Canadiens,"LW,RW",52.7,619.4,83,72,28.9,43.1,3.2,47,18,32,4,11,11,21.4,166,19.2,7.9,75,153.2,—,—,—,—,—,—,—,—,—,—
48,Tim Stutzle,Senators,"C,LW",47.2,619.1,81,79,26.8,52.7,0.4,40,21,33,4,5,20,25.1,168.4,20.1,278.5,44.9,123.7,—,—,—,—,—,—,—,—,—,—
49,Kirill Marchenko,Blue Jackets,RW,60.4,617.1,80,70,29.2,40.8,'-1.5,31,23,25,5,6,16,21.8,214.8,20,17.8,44.8,71.5,—,—,—,—,—,—,—,—,—,—
50,Jake Sanderson,Senators,D,63.7,614.1,81,58,14.4,43.9,0.5,23,10,27,2,4,17,21,169,25,0.5,157,48.4,—,—,—,—,—,—,—,—,—,—
51,Pavel Dorofeyev,Rangers,"LW,RW",70.6,613.4,83,66,35.3,30.7,'-4.7,31,22,20,5,14,10,23.7,223.6,18.3,0.1,39.6,43.4,—,—,—,—,—,—,—,—,—,—
52,Adrian Kempe,Kings,RW,52.7,613.4,82,70,31.3,38.9,1.7,50,25,26,5,6,12,17.9,214,18.9,23.2,38.2,116.6,—,—,—,—,—,—,—,—,—,—
